date_modeled,date_start,date_end,poll_subject,pollster,poll_grade,poll_type,poll_weight,poll_influence,poll_multi_version,population,party,sample_size,pct_concern_very,pct_concern_some,pct_concern_not_very,pct_concern_none,pct_concern_very_adjusted,pct_concern_some_adjusted,pct_concern_not_very_adjusted,pct_concern_none_adjusted,timestamp,poll_url
2021-08-19,2021-04-17,2021-04-20,1,YouGov,B+,0,1.1832316,1.1832316,False,a,all,1500.0,20.0,31.0,31.0,17.0,24.788795,28.965237,29.122088,16.490513,08:15:34 19 Aug 2021,https://docs.cdn.yougov.com/e89wuts0a9/econTabReport.pdf
2021-08-19,2021-04-10,2021-04-13,1,YouGov,B+,0,1.0142404,0.81494069,False,a,all,1500.0,16.0,34.0,29.0,20.0,20.788795,31.965237,27.122088,19.490513,08:15:34 19 Aug 2021,https://docs.cdn.yougov.com/wvjmyy0dlk/econTabReport.pdf
2021-08-19,2021-04-09,2021-04-11,1,L̩ger,,0,0.61808804,0.46187714,False,a,all,1002.0,20.0,30.0,22.0,20.0,24.76088,30.213702,23.376606,17.407874,08:15:34 19 Aug 2021,https://2g2ckk18vixp3neolz4b6605-wpengine.netdna-ssl.com/wp-content/uploads/2021/04/Legers-North-American-Tracker-April-12th-2021.pdf
2021-08-19,2021-04-03,2021-04-06,1,YouGov,B+,0,0.90147093,0.54724601,False,a,all,1500.0,18.0,32.0,31.0,19.0,22.788795,29.965237,29.122088,18.490513,08:15:34 19 Aug 2021,https://docs.cdn.yougov.com/4243y0nkbo/econTabReport.pdf
2021-08-19,2021-04-06,2021-04-06,1,Data for Progress,B,0,1.4678026,0.94105564,False,a,all,1244.0,22.34,34.16,22.65,17.25,21.846385,33.628921,23.691035,17.733283,08:15:34 19 Aug 2021,https://docs.google.com/spreadsheets/d/1DzzQ2QJL7UdG1Cgeu9EaNXEqQr2pLBOqeiS7E6FlZKM/edit#gid=0
2021-08-19,2021-03-08,2021-03-30,1,Public Religion Research Institute,A/B,0,3.1618515,0.47143108,False,a,all,5625.0,23.0,39.0,27.0,11.0,24.902018,37.374609,26.533108,12.14387,08:15:34 19 Aug 2021,https://www.prri.org/wp-content/uploads/2021/04/Topline-IFYC-PRRI-Survey-on-Religion-and-COVID-19-Vaccine-Trust-4-22-release.pdf
2021-08-19,2021-03-27,2021-03-30,1,YouGov,B+,0,0.8512629,0.34792955,False,a,all,1492.0,21.0,33.0,27.0,20.0,25.788795,30.965237,25.122088,19.490513,08:15:34 19 Aug 2021,https://docs.cdn.yougov.com/1kbp8xdx49/econTabReport.pdf
2021-08-19,2021-03-25,2021-03-29,1,Global Strategy Group/GBAO (Navigator Research),B/C,0,1.0663024,0.39313168,False,rv,all,1002.0,26.0,33.0,25.0,16.5,22.466814,34.810169,25.043029,17.72683,08:15:34 19 Aug 2021,https://navigatorresearch.org/wp-content/uploads/2021/04/Navigator-Toplines-03.29.21.pdf
2021-08-19,2021-03-25,2021-03-29,1,AP-NORC,,0,1.4275918,0.51653559,False,a,all,1166.0,35.0,34.0,24.0,7.0,30.973557,35.0779,24.591206,9.1954076,08:15:34 19 Aug 2021,https://apnorc.org/wp-content/uploads/2021/04/Voting-topline.pdf
2021-08-19,2021-03-26,2021-03-28,1,L̩ger,,0,0.49496948,0.1751715,False,a,all,1001.0,20.0,32.0,21.0,19.0,24.76088,32.213702,22.376606,16.407874,08:15:34 19 Aug 2021,https://2g2ckk18vixp3neolz4b6605-wpengine.netdna-ssl.com/wp-content/uploads/2021/03/Legers-North-American-Tracker-March-29th-2021-min.pdf
2021-08-19,2021-03-20,2021-03-23,1,YouGov,B+,0,0.84150251,0.17513375,False,a,all,1500.0,18.0,34.0,30.0,17.0,22.788795,31.965237,28.122088,16.490513,08:15:34 19 Aug 2021,https://docs.cdn.yougov.com/5v6z1pywv7/econTabReport.pdf
2021-08-19,2021-03-15,2021-03-21,1,Echelon Insights,B/C,0,1.1791907,0.13356625,False,rv,all,1008.0,35.0,28.0,32.0,,25.679706,31.892491,31.087362,,08:15:34 19 Aug 2021,https://echeloninsights.com/in-the-news/march-omnibus-covid/
2021-08-19,2021-03-12,2021-03-18,1,SSRS,C,0,1.1227596,0.08949533,False,a,all,1500.0,22.0,38.0,28.0,12.0,24.874425,35.380149,27.183509,13.11266,08:15:34 19 Aug 2021,https://www.washingtonpost.com/context/march-12-18-washington-post-university-of-maryland-national-sports-poll/0bc3be9a-c996-4bb9-8d4f-df1dbafbd38e/?itid=lk_inline_manual_2
2021-08-19,2021-03-12,2021-03-14,0,Harris Insights & Analytics,B+,0,0.89223789,0.89223789,False,a,all,1977.0,43.0,41.0,11.0,5.0,45.810338,38.387563,10.76622,3.8094406,08:15:29 19 Aug 2021,https://theharrispoll.com/wp-content/uploads/2021/03/Wave-55-Data-Tabs.pdf
2021-08-19,2021-03-12,2021-03-14,1,L̩ger,,0,0.51053669,0.02250356,False,a,all,1003.0,20.0,35.0,19.0,18.0,24.76088,35.213702,20.376606,15.407874,08:15:34 19 Aug 2021,https://2g2ckk18vixp3neolz4b6605-wpengine.netdna-ssl.com/wp-content/uploads/2021/03/Legers-North-American-Tracker-March-15th-2021-min.pdf
2021-08-19,2021-03-12,2021-03-14,1,RMG Research,B-,0,1.194977,0.07793328,False,a,all,1000.0,62.0,,38.0,,55.090802,,36.310842,,08:15:34 19 Aug 2021,https://www.healthinsurance.com/learning-center/article/coronavirus-anniversary-survey
