date_modeled,date_start,date_end,poll_subject,pollster,poll_grade,poll_type,poll_weight,poll_influence,poll_multi_version,population,party,sample_size,pct_concern_very,pct_concern_some,pct_concern_not_very,pct_concern_none,pct_concern_very_adjusted,pct_concern_some_adjusted,pct_concern_not_very_adjusted,pct_concern_none_adjusted,timestamp,poll_url
2020-12-18,2020-12-15,2020-12-15,1,Data for Progress,B-,0,1.2038615,1.2038615,False,a,all,1122.0,35.51,34.4,18.21,10.54,35.0348,33.628688,18.439545,10.846874,22:00:27 18 Dec 2020,https://docs.google.com/spreadsheets/d/1xfWX85C4TLZfb3Og3NaOMpTUY5d3KCs-PMU3g1lQYyk/edit#gid=0
2020-12-18,2020-12-11,2020-12-14,0,Ipsos,B-,0,0.80853294,0.80853294,False,a,all,1009.0,48.0,36.0,10.0,3.0,48.57594,35.792486,9.9435658,2.61532,22:00:24 18 Dec 2020,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-12/topline-axios-wave-33.pdf
2020-12-18,2020-12-11,2020-12-13,1,L̩ger,,0,0.56243758,0.52516175,False,a,all,1001.0,25.0,34.0,17.0,18.0,29.645324,33.695902,17.172484,15.084793,22:00:27 18 Dec 2020,https://leger360.com/wp-content/uploads/2020/12/Legers-North-American-Tracker-December-14th-2020-min.pdf?x43558
2020-12-18,2020-11-30,2020-12-08,1,Kaiser Family Foundation,,0,2.3341692,1.7677291,False,a,all,1676.0,30.0,38.0,15.0,14.0,30.952528,39.47366,15.708085,11.380467,22:00:27 18 Dec 2020,http://files.kff.org/attachment/Topline-KFF-COVID-19-Vaccine-Monitor-December-2020.pdf
2020-12-18,2020-12-04,2020-12-07,0,Ipsos,B-,0,0.86822277,0.71749116,False,a,all,1101.0,52.0,34.0,10.0,3.0,52.57594,33.792486,9.9435658,2.61532,22:00:24 18 Dec 2020,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-12/topline-axios-wave-32.pdf
2020-12-18,2020-12-01,2020-12-07,1,Quinnipiac University,B+,0,1.5082018,1.1422018,False,rv,all,978.0,46.0,31.0,13.0,10.0,41.090815,32.045079,15.68687,10.217928,22:00:27 18 Dec 2020,https://poll.qu.edu/national/release-detail?ReleaseID=3684
2020-12-18,2020-12-03,2020-12-07,1,AP-NORC,,0,1.5012477,1.1700546,False,a,all,1117.0,43.0,34.0,16.0,8.0,39.169658,35.074803,16.125992,9.6173541,22:00:27 18 Dec 2020,https://apnorc.org/wp-content/uploads/2020/12/topline_vaccine.pdf
2020-12-18,2020-12-04,2020-12-06,0,Harris Insights & Analytics,C,0,0.530526,0.42374747,False,a,all,1994.0,51.0,34.0,10.0,6.0,53.536161,31.703168,9.7104995,4.8965006,22:00:24 18 Dec 2020,https://theharrispoll.com/wp-content/uploads/2020/12/Wave-41-Data-Tabs.pdf
2020-12-18,2020-12-04,2020-12-06,0,Morning Consult,B/C,0,0.53055254,0.42366046,False,a,all,2200.0,63.0,25.0,4.0,2.0,59.733311,28.733562,7.4555066,2.6950353,22:00:24 18 Dec 2020,https://assets.morningconsult.com/wp-uploads/2020/12/07133951/201213_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM-1.pdf
2020-12-18,2020-11-30,2020-12-02,0,Harris Insights & Analytics,C,0,0.47437561,0.33118554,False,a,all,1980.0,50.0,35.0,9.0,6.0,52.536161,32.703168,8.7104995,4.8965006,22:00:24 18 Dec 2020,https://theharrispoll.com/wp-content/uploads/2020/12/Wave-40-Data-Tabs.pdf
2020-12-18,2020-11-26,2020-11-29,0,Morning Consult,B/C,0,0.42757473,0.26639235,False,a,all,2200.0,61.0,23.0,5.0,2.0,57.733311,26.733562,8.4555066,2.6950353,22:00:24 18 Dec 2020,https://assets.morningconsult.com/wp-uploads/2020/11/30105909/2011106_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
2020-12-18,2020-11-27,2020-11-29,1,L̩ger,,0,0.4277008,0.26706876,False,a,all,1002.0,26.0,31.0,18.0,17.0,30.645324,30.695902,18.172484,14.084793,22:00:27 18 Dec 2020,https://leger360.com/wp-content/uploads/2020/11/Legers-North-American-Tracker-November-30th-2020-min.pdf
2020-12-18,2020-11-19,2020-11-23,0,Morning Consult,B/C,0,0.37979656,0.16997731,False,a,all,2200.0,60.0,27.0,4.0,2.0,56.733311,30.733562,7.4555066,2.6950353,22:00:24 18 Dec 2020,https://assets.morningconsult.com/wp-uploads/2020/11/24152942/201193_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM-1.pdf
2020-12-18,2020-11-20,2020-11-22,1,Maru/Blue,,0,0.95743053,0.45050113,False,a,all,1513.0,36.0,39.0,17.0,8.0,35.902565,37.433683,17.000865,9.0251074,22:00:27 18 Dec 2020,https://static1.squarespace.com/static/5a5d2933a8b2b0f49d244724/t/5fbd8ff2804a27108d78681a/1606258674732/Omnibus+Thanksgiving+Travel.pdf
