date_modeled,poll_subject,party,pct_concern_very_estimate,pct_concern_some_estimate,pct_concern_not_very_estimate,pct_concern_none_estimate,timestamp
2020-10-22,1,all,30.391838,35.538228,18.660406,12.327572,14:10:24 22 Oct 2020
2020-10-22,0,all,53.027302,33.025562,9.2116139,3.486196,14:10:21 22 Oct 2020
2020-10-21,1,all,30.391838,35.538228,18.660406,12.327572,18:55:23 21 Oct 2020
2020-10-21,0,all,53.027302,33.025562,9.2116139,3.486196,18:55:20 21 Oct 2020
2020-10-20,0,all,53.027302,33.025562,9.2116139,3.486196,21:15:20 20 Oct 2020
2020-10-20,1,all,30.504082,35.534965,18.740631,12.066414,21:15:23 20 Oct 2020
2020-10-19,1,all,31.131314,35.209926,18.859822,11.816402,18:55:24 19 Oct 2020
2020-10-19,0,all,54.19666,31.978075,8.7738475,3.4055255,18:55:21 19 Oct 2020
2020-10-18,1,all,31.131314,35.209926,18.859822,11.816402,07:20:40 19 Oct 2020
2020-10-18,0,all,54.19666,31.978075,8.7738475,3.4055255,07:20:34 19 Oct 2020
2020-10-17,1,all,31.131314,35.209926,18.859822,11.816402,08:35:22 17 Oct 2020
2020-10-17,0,all,54.19666,31.978075,8.7738475,3.4055255,08:35:19 17 Oct 2020
2020-10-16,0,all,54.19666,31.978075,8.7738475,3.4055255,19:05:19 16 Oct 2020
2020-10-16,1,all,31.131314,35.209926,18.859822,11.816402,19:05:22 16 Oct 2020
2020-10-15,1,all,31.131314,35.209926,18.859822,11.816402,22:40:24 15 Oct 2020
2020-10-15,0,all,54.19666,31.978075,8.7738475,3.4055255,22:40:21 15 Oct 2020
2020-10-14,0,all,54.19666,31.978075,8.7738475,3.4055255,21:45:20 14 Oct 2020
2020-10-14,1,all,31.131314,35.209926,18.859822,11.816402,21:45:23 14 Oct 2020
2020-10-13,1,all,31.415529,34.926933,18.793971,11.768216,22:15:23 13 Oct 2020
2020-10-13,0,all,54.19666,31.978075,8.7738475,3.4055255,22:15:20 13 Oct 2020
2020-10-12,1,all,31.628771,34.614503,18.989882,11.609773,07:30:44 13 Oct 2020
2020-10-12,0,all,52.675834,33.260242,9.0996167,3.3079099,07:30:38 13 Oct 2020
2020-10-11,1,all,31.628771,34.614503,18.989882,11.609773,07:25:21 11 Oct 2020
2020-10-11,0,all,52.675834,33.260242,9.0996167,3.3079099,07:25:18 11 Oct 2020
2020-10-10,1,all,31.552346,34.211756,20.375157,12.003188,18:35:21 10 Oct 2020
2020-10-10,0,all,52.675834,33.260242,9.0996167,3.3079099,18:35:18 10 Oct 2020
2020-10-09,1,all,31.552346,34.211756,20.375157,12.003188,11:45:22  9 Oct 2020
2020-10-09,0,all,52.675834,33.260242,9.0996167,3.3079099,11:45:19  9 Oct 2020
2020-10-08,0,all,52.675834,33.260242,9.0996167,3.3079099,09:25:19  8 Oct 2020
2020-10-08,1,all,31.552346,34.211756,20.375157,12.003188,09:25:23  8 Oct 2020
2020-10-07,0,all,52.675834,33.260242,9.0996167,3.3079099,18:10:18  7 Oct 2020
2020-10-07,1,all,31.552346,34.211756,20.375157,12.003188,18:10:21  7 Oct 2020
2020-10-06,1,all,31.552346,34.211756,20.375157,12.003188,09:35:22  6 Oct 2020
2020-10-06,0,all,52.675834,33.260242,9.0996167,3.3079099,09:35:19  6 Oct 2020
2020-10-05,1,all,31.552346,34.211756,20.375157,12.003188,18:45:23  5 Oct 2020
2020-10-05,0,all,52.331479,33.370149,9.1471972,3.325759,18:45:20  5 Oct 2020
2020-10-04,1,all,31.552346,34.211756,20.375157,12.003188,18:55:22  4 Oct 2020
2020-10-04,0,all,52.331479,33.370149,9.1471972,3.325759,18:55:19  4 Oct 2020
2020-10-03,1,all,31.811273,33.744025,20.417944,12.016534,14:00:25  3 Oct 2020
2020-10-03,0,all,52.331479,33.370149,9.1471972,3.325759,14:00:22  3 Oct 2020
2020-10-02,1,all,31.811273,33.744025,20.417944,12.016534,18:35:21  2 Oct 2020
2020-10-02,0,all,52.520828,33.168479,9.139118,3.1802554,18:35:19  2 Oct 2020
2020-10-01,1,all,31.811273,33.744025,20.417944,12.016534,20:10:22  1 Oct 2020
2020-10-01,0,all,52.522995,33.14349,9.1256789,3.2418978,20:10:20  1 Oct 2020
2020-09-30,1,all,31.811273,33.744025,20.417944,12.016534,19:15:41 30 Sep 2020
2020-09-30,0,all,52.522995,33.14349,9.1256789,3.2418978,19:15:35 30 Sep 2020
2020-09-29,0,all,52.571008,32.929559,8.8859908,3.5539277,07:55:20 29 Sep 2020
2020-09-29,1,all,31.505751,33.895451,19.898893,12.507722,07:55:23 29 Sep 2020
2020-09-28,1,all,31.505751,33.895451,19.898893,12.507722,11:05:21 28 Sep 2020
2020-09-28,0,all,52.497756,32.989919,8.9423081,3.5873557,11:05:18 28 Sep 2020
2020-09-27,1,all,31.505751,33.895451,19.898893,12.507722,16:20:20 27 Sep 2020
2020-09-27,0,all,52.497756,32.989919,8.9423081,3.5873557,16:20:18 27 Sep 2020
2020-09-26,1,all,31.547757,34.212152,20.698913,12.217178,01:00:37 27 Sep 2020
2020-09-26,0,all,52.497756,32.989919,8.9423081,3.5873557,01:00:32 27 Sep 2020
2020-09-25,1,all,31.547757,34.212152,20.698913,12.217178,22:35:35 25 Sep 2020
2020-09-25,0,all,52.497756,32.989919,8.9423081,3.5873557,22:35:30 25 Sep 2020
2020-09-24,1,all,31.547757,34.212152,20.698913,12.217178,13:55:21 24 Sep 2020
2020-09-24,0,all,52.497756,32.989919,8.9423081,3.5873557,13:55:18 24 Sep 2020
2020-09-23,1,all,31.888428,33.837774,20.814029,12.136689,18:40:23 23 Sep 2020
2020-09-23,0,all,52.497756,32.989919,8.9423081,3.5873557,18:40:20 23 Sep 2020
2020-09-22,0,all,52.497756,32.989919,8.9423081,3.5873557,20:00:18 22 Sep 2020
2020-09-22,1,all,32.073641,33.943077,20.641749,12.093769,20:00:21 22 Sep 2020
2020-09-21,0,all,52.836267,32.580642,8.6767362,3.6155168,20:55:18 21 Sep 2020
2020-09-21,1,all,32.073641,33.943077,20.641749,12.093769,20:55:21 21 Sep 2020
2020-09-20,1,all,32.385982,33.833732,20.636686,11.998265,09:05:21 20 Sep 2020
2020-09-20,0,all,52.590802,32.532917,8.9893069,3.7925095,09:05:18 20 Sep 2020
2020-09-19,1,all,32.385982,33.833732,20.636686,11.998265,07:10:36 20 Sep 2020
2020-09-19,0,all,52.590802,32.532917,8.9893069,3.7925095,07:10:31 20 Sep 2020
2020-09-18,1,all,32.593159,33.446018,20.683915,12.013182,16:20:21 18 Sep 2020
2020-09-18,0,all,52.590802,32.532917,8.9893069,3.7925095,16:20:18 18 Sep 2020
2020-09-17,1,all,32.537436,33.48107,20.580611,12.143346,15:25:20 17 Sep 2020
2020-09-17,0,all,52.590802,32.532917,8.9893069,3.7925095,15:25:17 17 Sep 2020
2020-09-16,1,all,32.446882,33.714601,20.092113,12.358126,16:40:21 16 Sep 2020
2020-09-16,0,all,52.590802,32.532917,8.9893069,3.7925095,16:40:19 16 Sep 2020
2020-09-15,1,all,32.809123,33.633082,19.728325,12.317041,20:20:21 15 Sep 2020
2020-09-15,0,all,52.590802,32.532917,8.9893069,3.7925095,20:20:18 15 Sep 2020
2020-09-14,0,all,52.784365,32.194474,9.1529559,3.569649,18:30:19 14 Sep 2020
2020-09-14,1,all,32.809123,33.633082,19.728325,12.317041,18:30:21 14 Sep 2020
2020-09-13,0,all,53.075169,32.312361,9.2711338,3.5150058,09:05:17 13 Sep 2020
2020-09-13,1,all,32.829021,33.72555,19.7095,12.273438,09:05:19 13 Sep 2020
2020-09-12,0,all,53.075169,32.312361,9.2711338,3.5150058,16:30:17 12 Sep 2020
2020-09-12,1,all,32.829021,33.72555,19.7095,12.273438,16:30:20 12 Sep 2020
2020-09-11,1,all,33.509382,33.420302,19.459141,12.202169,16:15:34 12 Sep 2020
2020-09-11,0,all,53.075169,32.312361,9.2711338,3.5150058,16:15:29 12 Sep 2020
2020-09-10,0,all,53.075169,32.312361,9.2711338,3.5150058,13:05:17 10 Sep 2020
2020-09-10,1,all,33.509382,33.420302,19.459141,12.202169,13:05:19 10 Sep 2020
2020-09-09,1,all,35.139651,32.943974,18.5671,12.010697,18:05:19  9 Sep 2020
2020-09-09,0,all,53.075169,32.312361,9.2711338,3.5150058,18:05:17  9 Sep 2020
2020-09-08,0,all,53.926919,31.925419,8.9613115,3.772266,19:05:16  8 Sep 2020
2020-09-08,1,all,33.628739,33.938863,19.112168,11.905256,19:05:19  8 Sep 2020
2020-09-07,0,all,54.287718,31.656493,8.8444832,3.9260174,11:05:16  7 Sep 2020
2020-09-07,1,all,33.754825,33.911942,19.134792,11.768122,11:05:19  7 Sep 2020
2020-09-06,1,all,33.754825,33.911942,19.134792,11.768122,10:40:30  6 Sep 2020
2020-09-06,0,all,54.287718,31.656493,8.8444832,3.9260174,10:40:27  6 Sep 2020
2020-09-05,0,all,54.287718,31.656493,8.8444832,3.9260174,10:40:28  6 Sep 2020
2020-09-05,1,all,33.754825,33.911942,19.134792,11.768122,10:40:33  6 Sep 2020
2020-09-04,0,all,54.287718,31.656493,8.8444832,3.9260174,18:25:15  4 Sep 2020
2020-09-04,1,all,33.60439,33.791725,19.17646,11.856495,18:25:18  4 Sep 2020
2020-09-03,1,all,33.77779,33.71067,18.800373,11.914924,22:55:19  3 Sep 2020
2020-09-03,0,all,54.287718,31.656493,8.8444832,3.9260174,22:55:16  3 Sep 2020
2020-09-02,0,all,54.287718,31.656493,8.8444832,3.9260174,16:45:16  2 Sep 2020
2020-09-02,1,all,33.91514,33.780712,18.396446,11.986626,16:45:18  2 Sep 2020
2020-09-01,1,all,34.085894,33.680443,17.955919,11.874327,20:00:21  1 Sep 2020
2020-09-01,0,all,54.287718,31.656493,8.8444832,3.9260174,20:00:19  1 Sep 2020
2020-08-31,1,all,34.289486,33.69208,17.795104,11.761939,20:50:19 31 Aug 2020
2020-08-31,0,all,54.992639,31.478875,8.4646015,3.3029541,20:50:17 31 Aug 2020
2020-08-30,1,all,34.052401,33.797673,17.862409,11.879649,07:40:20 30 Aug 2020
2020-08-30,0,all,55.523735,31.144067,8.4626365,3.221631,07:40:18 30 Aug 2020
2020-08-29,0,all,55.523735,31.144067,8.4626365,3.221631,13:40:16 29 Aug 2020
