election_cycle,race_type,name_incumbent,name_challenger,name_third,votes_ec_prob_incumbent,votes_ec_prob_challenger,votes_ec_prob_third,votes_ec_total,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,0.0017,0.0,,99,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.00605,0.003125,,264,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.00145,0.000525,,251,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.002875,0.0041,,252,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.004525,0.005275,,253,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.003575,0.0043,,254,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.00265,0.00375,,255,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.00295,0.002175,,256,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.00155,0.001725,,257,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.00515,0.004475,,258,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.01255,0.005075,,259,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.000325,0.0,,26,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.007375,0.001625,,260,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.0015,0.001,,261,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.001825,0.00265,,262,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.0029,0.003475,,263,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.00735,0.004775,,265,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.000225,0.0,,25,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.00385,0.00235,,266,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.0016,0.0014,,267,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.0032,0.00345,,268,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.0057,0.0057,,269,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.00015,5e-05,,27,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.00345,0.0032,,270,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.0014,0.0016,,271,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.00235,0.00385,,272,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.004775,0.00735,,273,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.003125,0.00605,,274,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.003475,0.0029,,275,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.00265,0.001825,,276,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.001,0.0015,,277,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,0.001625,0.007375,,278,1,2020-09-16,23:12:03 16 Sep 2020,40000
