election_cycle,race_type,name_incumbent,name_challenger,name_third,votes_ec_prob_incumbent,votes_ec_prob_challenger,votes_ec_prob_third,votes_ec_total,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,0.001625,0.0,,99,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.003375,0.0028,,264,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.0031,0.000925,,251,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.001725,0.0049,,252,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.00205,0.00345,,253,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.002575,0.00335,,254,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.003175,0.002625,,255,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.003375,0.00215,,256,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.00285,0.0015,,257,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.0038,0.005775,,258,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.0111,0.004075,,259,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.000325,2.5e-05,,26,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.010075,0.00175,,260,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.002425,0.002225,,261,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.001825,0.0034,,262,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.00195,0.003075,,263,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.004575,0.0028,,265,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.00045,2.5e-05,,25,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.005075,0.0017,,266,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.00185,0.001575,,267,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.001775,0.00625,,268,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.0042,0.0042,,269,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.0001,2.5e-05,,27,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.00625,0.001775,,270,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.001575,0.00185,,271,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.0017,0.005075,,272,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.0028,0.004575,,273,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.0028,0.003375,,274,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.003075,0.00195,,275,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.0034,0.001825,,276,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.002225,0.002425,,277,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.00175,0.010075,,278,1,2020-08-27,19:00:04 27 Aug 2020,40000
2020,President,Trump,Biden,,0.003125,0.00145,,250,1,2020-08-27,19:00:04 27 Aug 2020,40000
